id,Etapa,Sensor,Temperatura,hora,minuto,segundo,fecha_de_llegada
1,1,10,14.6,10,13,50,2025-08-08 10:18:37
2,1,11,15.0,10,13,50,2025-08-08 10:18:37
3,1,12,14.4,10,13,50,2025-08-08 10:18:37
4,1,13,15.0,10,13,50,2025-08-08 10:18:37
5,1,14,14.9,10,13,50,2025-08-08 10:18:37
6,1,15,15.5,10,13,50,2025-08-08 10:18:37
7,1,16,14.8,10,13,50,2025-08-08 10:18:37
8,1,17,14.8,10,13,50,2025-08-08 10:18:37
9,1,18,14.9,10,13,50,2025-08-08 10:18:37
10,1,19,15.2,10,13,50,2025-08-08 10:18:37
11,1,20,14.1,10,13,50,2025-08-08 10:18:37
12,1,21,14.4,10,13,50,2025-08-08 10:18:37
13,2,10,14.6,10,14,5,2025-08-08 10:18:37
14,2,11,15.1,10,14,5,2025-08-08 10:18:37
15,2,12,14.4,10,14,5,2025-08-08 10:18:37
16,2,13,15.0,10,14,5,2025-08-08 10:18:37
17,2,14,14.9,10,14,5,2025-08-08 10:18:37
18,2,15,15.5,10,14,5,2025-08-08 10:18:37
19,2,16,14.8,10,14,5,2025-08-08 10:18:37
20,2,17,14.8,10,14,5,2025-08-08 10:18:37
21,2,18,14.9,10,14,5,2025-08-08 10:18:37
22,2,19,15.3,10,14,5,2025-08-08 10:18:37
23,2,20,14.1,10,14,5,2025-08-08 10:18:37
24,2,21,14.4,10,14,5,2025-08-08 10:18:37
25,3,10,14.6,10,14,20,2025-08-08 10:18:37
26,3,11,15.1,10,14,20,2025-08-08 10:18:37
27,3,12,14.4,10,14,20,2025-08-08 10:18:37
28,3,13,15.0,10,14,20,2025-08-08 10:18:37
29,3,14,15.0,10,14,20,2025-08-08 10:18:37
30,3,15,15.5,10,14,20,2025-08-08 10:18:37
31,3,16,14.8,10,14,20,2025-08-08 10:18:37
32,3,17,14.9,10,14,20,2025-08-08 10:18:37
33,3,18,14.9,10,14,20,2025-08-08 10:18:37
34,3,19,15.3,10,14,20,2025-08-08 10:18:37
35,3,20,14.2,10,14,20,2025-08-08 10:18:37
36,3,21,14.5,10,14,20,2025-08-08 10:18:37
37,4,10,14.6,10,14,35,2025-08-08 10:18:37
38,4,11,15.1,10,14,35,2025-08-08 10:18:37
39,4,12,14.5,10,14,35,2025-08-08 10:18:37
40,4,13,15.0,10,14,35,2025-08-08 10:18:37
41,4,14,15.0,10,14,35,2025-08-08 10:18:37
42,4,15,15.4,10,14,35,2025-08-08 10:18:37
43,4,16,14.8,10,14,35,2025-08-08 10:18:37
44,4,17,14.9,10,14,35,2025-08-08 10:18:37
45,4,18,14.9,10,14,35,2025-08-08 10:18:37
46,4,19,15.3,10,14,35,2025-08-08 10:18:37
47,4,20,14.2,10,14,35,2025-08-08 10:18:37
48,4,21,14.5,10,14,35,2025-08-08 10:18:37
