Device Information
******************************
Device Type:    TZ-TempU03
Firmware Ver:   4.06
ID:             TZ0324052642
Start Delay:    0 min
Log Interval:   30 sec
Description:    Pruebas termicas
Note:
All times shown are based on UTC-6:00 and 24-Hour clock[DD/MM/YY HH:MM:SS]

Logging Summary
******************************
First Point:   29/04/25 12:42:47
Stop Time:     29/04/25 13:16:17
Number of Points:   68
Trip Length:   00d 00h 33m 30s
Start Mode:    Button Start
Stop Mode:    Manual Stop
Max:    28.0C(Temp)/66.1%RH(Humidity)
Min:    2.2C(Temp)/29.5%RH(Humidity)
Average:12.4C(Temp)/34.5%RH(Humidity)
MKT:    17.1C

Marked Events
******************************
N/A

Alarm Condition	 ,Alarm Delay	 ,First Point Time	  ,Time of Violations 	,No.of Violations	  ,Status
******************************,******************************,******************************,******************************
Over 8.0C,00d 00h 10m 00s, 29/04/25 12:42:47,00d 00h 18m 30s,38,Alarm
Below 2.0C,00d 00h 10m 00s,00/00/00 00:00:00,00d 00h 00m 00s,0,OK
Over 90.0%RH,00d 00h 10m 00s,00/00/00 00:00:00,00d 00h 00m 00s,0,OK
Below 15.0%RH,00d 00h 10m 00s,00/00/00 00:00:00,00d 00h 00m 00s,0,OK

Date,Time,Temperature(C),Humidity(%RH)
******************************,******************************,******************************,******************************
29/04/2025, 12:42:47, 27.9,46.8
29/04/2025, 12:43:17, 28.0,37.7
29/04/2025, 12:43:47, 27.9,36.4
29/04/2025, 12:44:17, 27.8,35.7
29/04/2025, 12:44:47, 27.7,34.7
29/04/2025, 12:45:17, 27.5,34.7
29/04/2025, 12:45:47, 27.4,34.4
29/04/2025, 12:46:17, 27.3,34.5
29/04/2025, 12:46:47, 27.1,34.1
29/04/2025, 12:47:17, 26.7,33.5
29/04/2025, 12:47:47, 26.1,32.6
29/04/2025, 12:48:17, 25.3,31.7
29/04/2025, 12:48:47, 24.5,30.9
29/04/2025, 12:49:17, 23.6,30.3
29/04/2025, 12:49:47, 22.6,29.9
29/04/2025, 12:50:17, 21.7,29.6
29/04/2025, 12:50:47, 20.8,29.5
29/04/2025, 12:51:17, 19.9,29.6
29/04/2025, 12:51:47, 19.1,29.6
29/04/2025, 12:52:17, 18.2,29.7
29/04/2025, 12:52:47, 17.4,29.8
29/04/2025, 12:53:17, 16.7,30.1
29/04/2025, 12:53:47, 16.0,30.3
29/04/2025, 12:54:17, 15.3,30.4
29/04/2025, 12:54:47, 14.6,30.7
29/04/2025, 12:55:17, 14.0,30.8
29/04/2025, 12:55:47, 13.4,31.0
29/04/2025, 12:56:17, 12.8,31.2
29/04/2025, 12:56:47, 12.2,31.4
29/04/2025, 12:57:17, 11.7,31.5
29/04/2025, 12:57:47, 11.2,31.7
29/04/2025, 12:58:17, 10.7,31.8
29/04/2025, 12:58:47, 10.3,31.9
29/04/2025, 12:59:17, 9.8,32.0
29/04/2025, 12:59:47, 9.3,32.1
29/04/2025, 13:00:17, 8.9,32.3
29/04/2025, 13:00:47, 8.5,32.4
29/04/2025, 13:01:17, 8.1,32.5
29/04/2025, 13:01:47, 7.7,32.6
29/04/2025, 13:02:17, 7.3,32.7
29/04/2025, 13:02:47, 7.0,32.7
29/04/2025, 13:03:17, 6.6,32.8
29/04/2025, 13:03:47, 6.3,32.9
29/04/2025, 13:04:17, 5.9,33.0
29/04/2025, 13:04:47, 5.6,33.1
29/04/2025, 13:05:17, 5.3,33.2
29/04/2025, 13:05:47, 5.0,33.3
29/04/2025, 13:06:17, 4.7,33.4
29/04/2025, 13:06:47, 4.4,33.5
29/04/2025, 13:07:17, 4.1,33.6
29/04/2025, 13:07:47, 3.8,33.7
29/04/2025, 13:08:17, 3.6,33.8
29/04/2025, 13:08:47, 3.3,33.9
29/04/2025, 13:09:17, 3.0,33.9
29/04/2025, 13:09:47, 2.8,34.0
29/04/2025, 13:10:17, 2.5,33.9
29/04/2025, 13:10:47, 2.3,34.0
29/04/2025, 13:11:17, 2.2,34.2
29/04/2025, 13:11:47, 2.2,34.6
29/04/2025, 13:12:17, 2.3,34.8
29/04/2025, 13:12:47, 2.3,35.0
29/04/2025, 13:13:17, 2.5,35.2
29/04/2025, 13:13:47, 2.6,35.2
29/04/2025, 13:14:17, 2.9,39.0
29/04/2025, 13:14:47, 3.4,49.2
29/04/2025, 13:15:17, 4.3,59.1
29/04/2025, 13:15:47, 5.6,64.7
29/04/2025, 13:16:17, 6.8,66.1
