Min,Time,Temp,Temp_modelo,error ,k,,,,,
0, 12:43:48,26.3,,,,,,,,
0.5, 12:44:18,26.5,48.55488216,486.4178269,-0.017857261,,,,,
1, 12:44:48,26.5,48.11857009,467.3625725,0,,,,k,0.03
1.5, 12:45:18,26.3,47.69088958,457.5701571,0.017857261,,,,T_objetivo,4
2, 12:45:48,26.1,47.27166989,448.2396059,0.01801814,,,,T_ambiente,26.5
2.5, 12:46:18,25.8,46.86074363,443.5549221,0.027335277,,,,,
3, 12:46:48,25.3,46.45794672,447.6587096,0.046405794,,,,27.4 + (27.3 - 27.4) * EXP(-H2 * A2),
3.5, 12:47:18,24.7,46.06311836,456.382826,0.057146745,,,,,
4, 12:47:48,24,45.67610089,469.8533498,0.068802853,,,,k_calc,0.039962638
4.5, 12:48:18,23.3,45.29673979,483.8565615,0.071254355,,,,,
5, 12:48:48,22.7,44.9248836,493.9454511,0.063163144,,,,,
5.5, 12:49:18,22.1,44.56038385,504.4688426,0.065223171,,,,,
6, 12:49:48,21.5,44.203095,515.4305225,0.067422115,,,,,
6.5, 12:50:18,20.9,43.8528744,526.8344432,0.069774518,,,,,
7, 12:50:48,20.4,43.50958222,534.0527904,0.060064574,,,,,
7.5, 12:51:18,19.9,43.17308139,541.6363176,0.061924451,,,,,
8, 12:51:48,19.4,42.84323757,549.5853878,0.0639032,,,,,
8.5, 12:52:18,19,42.51991905,553.1865922,0.052634617,,,,,
9, 12:52:48,18.5,42.20299675,561.8320548,0.067803103,,,,,
9.5, 12:53:18,18.2,41.89234412,561.32717,0.04181337,,,,,
10, 12:53:48,17.8,41.58783714,565.861196,0.057146745,,,,,
10.5, 12:54:18,17.4,41.28935423,570.7012456,0.05882777,,,,,
11, 12:54:48,17.1,40.99677621,571.0559132,0.045284953,,,,,
11.5, 12:55:18,16.8,40.70998626,571.6874432,0.046334119,,,,,
12, 12:55:48,16.5,40.42886989,572.5908142,0.047433053,,,,,
12.5, 12:56:18,16.2,40.15331484,573.761292,0.048585385,,,,,
13, 12:56:48,15.9,39.88321111,575.194415,0.049795103,,,,,
13.5, 12:57:18,15.7,39.61845084,572.0922904,0.033899117,,,,,
14, 12:57:48,15.4,39.35892832,574.0302464,0.051950973,,,,,
14.5, 12:58:18,15.2,39.10453995,571.4270301,0.035399154,,,,,
15, 12:58:48,15,38.85518414,569.0698104,0.036037011,,,,,
15.5, 12:59:18,14.7,38.61076134,571.7245081,0.055303063,,,,,
16, 12:59:48,14.5,38.37117397,569.8329466,0.037736969,,,,,
16.5, 13:00:18,14.3,38.13632635,568.1704539,0.038462724,,,,,
17, 13:00:48,14.1,37.90612473,566.7315746,0.039216943,,,,,
17.5, 13:01:18,14,37.68047719,560.7649999,0.019900662,,,,,
18, 13:01:48,13.8,37.45929364,559.7621755,0.040405415,,,,,
18.5, 13:02:18,13.6,37.24248576,558.9671331,0.041238574,,,,,
19, 13:02:48,13.5,37.029967,553.6593472,0.0209426,,,,,
19.5, 13:03:18,13.3,36.82165251,553.2681366,0.042554797,,,,,
20, 13:03:48,13.1,36.6174591,553.0708824,0.043479973,,,,,
20.5, 13:04:18,13,36.41730525,548.3701851,0.022099672,,,,,
21, 13:04:48,12.8,36.22111105,548.5484427,0.044945712,,,,,
21.5, 13:05:18,12.7,36.02879816,544.2328235,0.022857392,,,,,
22, 13:05:48,12.5,35.8402898,544.7691279,0.046513724,,,,,
22.5, 13:06:18,12.4,35.6555107,540.8187781,0.023668915,,,,,
23, 13:06:48,12.3,35.4743871,537.0522172,0.023952382,,,,,
23.5, 13:07:18,12.1,35.29684666,538.0936949,0.048782906,,,,,
24, 13:07:48,12,35.12281851,534.6647357,0.02484504,,,,,
24.5, 13:08:18,11.9,34.95223316,531.4054535,0.025157564,,,,,
25, 13:08:48,11.8,34.7850225,528.3112592,0.025478052,,,,,
