Device Information
******************************
Device Type:    TZ-TempU03
Firmware Ver:   4.05
ID:             TZ0323110064
Start Delay:    0 min
Log Interval:   30 sec
Description:    Prueba isuzu1
Note:
All times shown are based on UTC-6:00 and 24-Hour clock[DD/MM/YY HH:MM:SS]

Logging Summary
******************************
First Point:   12/05/25 10:29:23
Stop Time:     12/05/25 11:18:53
Number of Points:   100
Trip Length:   00d 00h 49m 30s
Start Mode:    Button Start
Stop Mode:    Manual Stop
Max:    21.5C(Temp)/52.3%RH(Humidity)
Min:    4.6C(Temp)/38.5%RH(Humidity)
Average:9.1C(Temp)/44.1%RH(Humidity)
MKT:    10.9C

Marked Events
******************************
N/A

Alarm Condition	 ,Alarm Delay	 ,First Point Time	  ,Time of Violations 	,No.of Violations	  ,Status
******************************,******************************,******************************,******************************
Over 8.0C,00d 00h 10m 00s, 12/05/25 10:29:23,00d 00h 17m 00s,35,Alarm
Below 2.0C,00d 00h 10m 00s,00/00/00 00:00:00,00d 00h 00m 00s,0,OK
Over 90.0%RH,00d 00h 10m 00s,00/00/00 00:00:00,00d 00h 00m 00s,0,OK
Below 15.0%RH,00d 00h 10m 00s,00/00/00 00:00:00,00d 00h 00m 00s,0,OK

Date,Time,Temperature(C),Humidity(%RH)
******************************,******************************,******************************,******************************
12/05/2025, 10:29:23, 21.5,48.7
12/05/2025, 10:29:53, 21.3,46.4
12/05/2025, 10:30:23, 21.2,45.9
12/05/2025, 10:30:53, 21.0,45.7
12/05/2025, 10:31:23, 20.8,45.6
12/05/2025, 10:31:53, 20.6,45.6
12/05/2025, 10:32:23, 20.4,45.8
12/05/2025, 10:32:53, 20.2,45.7
12/05/2025, 10:33:23, 19.9,45.7
12/05/2025, 10:33:53, 19.5,44.5
12/05/2025, 10:34:23, 18.8,43.3
12/05/2025, 10:34:53, 18.2,42.2
12/05/2025, 10:35:23, 17.5,41.4
12/05/2025, 10:35:53, 16.9,40.7
12/05/2025, 10:36:23, 16.2,40.3
12/05/2025, 10:36:53, 15.6,40.1
12/05/2025, 10:37:23, 15.0,39.7
12/05/2025, 10:37:53, 14.5,39.5
12/05/2025, 10:38:23, 14.0,39.2
12/05/2025, 10:38:53, 13.5,39.0
12/05/2025, 10:39:23, 13.0,38.9
12/05/2025, 10:39:53, 12.5,38.8
12/05/2025, 10:40:23, 12.1,38.7
12/05/2025, 10:40:53, 11.6,38.6
12/05/2025, 10:41:23, 11.2,38.6
12/05/2025, 10:41:53, 10.8,38.5
12/05/2025, 10:42:23, 10.5,38.5
12/05/2025, 10:42:53, 10.2,38.6
12/05/2025, 10:43:23, 9.8,38.5
12/05/2025, 10:43:53, 9.5,38.5
12/05/2025, 10:44:23, 9.2,38.6
12/05/2025, 10:44:53, 8.9,38.6
12/05/2025, 10:45:23, 8.6,38.5
12/05/2025, 10:45:53, 8.4,38.6
12/05/2025, 10:46:23, 8.1,38.7
12/05/2025, 10:46:53, 7.9,38.8
12/05/2025, 10:47:23, 7.7,38.9
12/05/2025, 10:47:53, 7.5,38.9
12/05/2025, 10:48:23, 7.3,39.0
12/05/2025, 10:48:53, 7.1,39.0
12/05/2025, 10:49:23, 6.8,39.1
12/05/2025, 10:49:53, 6.7,39.1
12/05/2025, 10:50:23, 6.5,39.1
12/05/2025, 10:50:53, 6.3,39.1
12/05/2025, 10:51:23, 6.1,39.2
12/05/2025, 10:51:53, 5.9,40.5
12/05/2025, 10:52:23, 5.9,43.2
12/05/2025, 10:52:53, 5.9,46.0
12/05/2025, 10:53:23, 5.9,47.5
12/05/2025, 10:53:53, 6.0,47.1
12/05/2025, 10:54:23, 5.9,46.1
12/05/2025, 10:54:53, 5.9,45.2
12/05/2025, 10:55:23, 5.7,44.5
12/05/2025, 10:55:53, 5.6,43.7
12/05/2025, 10:56:23, 5.5,43.2
12/05/2025, 10:56:53, 5.4,42.7
12/05/2025, 10:57:23, 5.3,42.3
12/05/2025, 10:57:53, 5.1,42.0
12/05/2025, 10:58:23, 5.0,41.7
12/05/2025, 10:58:53, 4.8,41.4
12/05/2025, 10:59:23, 4.7,41.5
12/05/2025, 10:59:53, 4.6,43.4
12/05/2025, 11:00:23, 4.6,46.0
12/05/2025, 11:00:53, 4.6,48.6
12/05/2025, 11:01:23, 4.7,51.0
12/05/2025, 11:01:53, 4.9,51.8
12/05/2025, 11:02:23, 5.0,51.9
12/05/2025, 11:02:53, 5.2,52.3
12/05/2025, 11:03:23, 5.3,51.6
12/05/2025, 11:03:53, 5.5,50.4
12/05/2025, 11:04:23, 5.7,49.0
12/05/2025, 11:04:53, 5.8,47.8
12/05/2025, 11:05:23, 5.9,46.6
12/05/2025, 11:05:53, 6.0,45.6
12/05/2025, 11:06:23, 6.1,44.8
12/05/2025, 11:06:53, 6.1,44.0
12/05/2025, 11:07:23, 6.2,43.7
12/05/2025, 11:07:53, 6.2,44.9
12/05/2025, 11:08:23, 6.3,46.3
12/05/2025, 11:08:53, 6.3,47.9
12/05/2025, 11:09:23, 6.4,49.3
12/05/2025, 11:09:53, 6.5,50.5
12/05/2025, 11:10:23, 6.5,51.2
12/05/2025, 11:10:53, 6.6,50.5
12/05/2025, 11:11:23, 6.6,49.4
12/05/2025, 11:11:53, 6.7,48.2
12/05/2025, 11:12:23, 6.6,47.1
12/05/2025, 11:12:53, 6.6,46.1
12/05/2025, 11:13:23, 6.6,45.2
12/05/2025, 11:13:53, 6.6,44.5
12/05/2025, 11:14:23, 6.6,44.8
12/05/2025, 11:14:53, 6.6,46.1
12/05/2025, 11:15:23, 6.6,47.6
12/05/2025, 11:15:53, 6.6,49.0
