Device Information
******************************
Device Type:    TZ-TempU03
Firmware Ver:   4.05
ID:             TZ0323110038
Start Delay:    0 min
Log Interval:   30 sec
Description:    Pruebas termicas
Note:
All times shown are based on UTC-6:00 and 24-Hour clock[DD/MM/YY HH:MM:SS]

Logging Summary
******************************
First Point:   29/04/25 12:49:51
Stop Time:     29/04/25 13:40:51
Number of Points:   103
Trip Length:   00d 00h 51m 00s
Start Mode:    Button Start
Stop Mode:     USB Stop
Max:    29.2C(Temp)/83.8%RH(Humidity)
Min:    5.3C(Temp)/30.9%RH(Humidity)
Average:17.9C(Temp)/38.3%RH(Humidity)
MKT:    21.1C

Marked Events
******************************
N/A

Alarm Condition	 ,Alarm Delay	 ,First Point Time	  ,Time of Violations 	,No.of Violations	  ,Status
******************************,******************************,******************************,******************************
Over 8.0C,00d 00h 10m 00s, 29/04/25 12:49:51,00d 00h 42m 30s,86,Alarm
Below 2.0C,00d 00h 10m 00s,00/00/00 00:00:00,00d 00h 00m 00s,0,OK
Over 90.0%RH,00d 00h 10m 00s,00/00/00 00:00:00,00d 00h 00m 00s,0,OK
Below 15.0%RH,00d 00h 10m 00s,00/00/00 00:00:00,00d 00h 00m 00s,0,OK

Date,Time,Temperature(C),Humidity(%RH)
******************************,******************************,******************************,******************************
29/04/2025, 12:49:51, 29.2,35.4
29/04/2025, 12:50:21, 29.1,34.4
29/04/2025, 12:50:51, 29.1,33.5
29/04/2025, 12:51:21, 28.9,32.7
29/04/2025, 12:51:51, 28.8,32.5
29/04/2025, 12:52:21, 28.7,32.5
29/04/2025, 12:52:51, 28.5,32.5
29/04/2025, 12:53:21, 28.4,31.2
29/04/2025, 12:53:51, 28.0,30.9
29/04/2025, 12:54:21, 27.4,30.9
29/04/2025, 12:54:51, 26.5,31.3
29/04/2025, 12:55:21, 25.6,32.0
29/04/2025, 12:55:51, 24.7,32.6
29/04/2025, 12:56:21, 23.8,33.5
29/04/2025, 12:56:51, 23.0,34.3
29/04/2025, 12:57:21, 22.2,34.9
29/04/2025, 12:57:51, 21.4,35.3
29/04/2025, 12:58:21, 20.6,35.7
29/04/2025, 12:58:51, 19.9,36.0
29/04/2025, 12:59:21, 19.2,36.1
29/04/2025, 12:59:51, 18.5,36.2
29/04/2025, 13:00:21, 17.8,36.3
29/04/2025, 13:00:51, 17.2,36.4
29/04/2025, 13:01:21, 16.6,36.4
29/04/2025, 13:01:51, 16.1,36.4
29/04/2025, 13:02:21, 15.6,36.4
